name,company,director,genre,id
Pump Up the Volume,New Line Cinema,Allan Moyle,Comedy,2e4n276eh2yHXBzkE7KN
White of the Eye,Mrs. White's Productions,Donald Cammell,Horror,2eLkHX9wYZDDRHLTRrXD
Who's That Girl,"Guber-Peters Company, The",James Foley,Comedy,2h0j9CiVin6IGqCEQmIm
Over the Top,Cannon Group,Menahem Golan,Action,2nUcZwggRBxwBYmrfpXH
My Stepmother Is an Alien,Weintraub Entertainment Group,Richard Benjamin,Comedy,2tCYtGQrFhM8BXNII4ik
Hollywood Shuffle,Conquering Unicorn,Robert Townsend,Comedy,32JBdxrreP68jBnrfskI
Too Beautiful for You,Ciné Valse,Bertrand Blier,Comedy,32OvUMtVGVHh4gLKjF8M
Fist Fighter,Eagle Film,Frank Zuniga,Action,38c5kd9PY0BT239ZE0EQ
Duet for One,Golan-Globus Productions,Andrey Konchalovskiy,Drama,3BwzLlLQql2XhWSLczvQ
Gremlins 2: The New Batch,Warner Bros.,Joe Dante,Comedy,3IpD35ywdtU3nbAcyqKr
Indiana Jones and the Last Crusade,Paramount Pictures,Steven Spielberg,Action,3MzEolwDMXgMulKqJZgn
¡Three Amigos!,L.A. Films,John Landis,Comedy,3RT1Le3UmENSbRThqh9N
Dominick and Eugene,Orion Pictures,Robert M. Young,Drama,3Rx0rRcZhWEiMGgZZoL8
Straight to Hell,Commies From Mars Corporation,Alex Cox,Action,3Snto1wiO7B8jAQsndjE
Mac and Me,Mac and Me Joint Venture,Stewart Raffill,Adventure,3UIKHFg2ON4Evad2GEBv
Punchline,Columbia Pictures Corporation,David Seltzer,Comedy,3UbaGevJ4oKfNmJJ0Wrb
Hamburger Hill,RKO Pictures,John Irvin,Action,3Xew8rjVWkY6hHzo23a9
Ruthless People,Touchstone Pictures,Jim Abrahams,Comedy,3dKnptlZHj1EG9wN8DAW
Blue Steel,Lightning Pictures,Kathryn Bigelow,Action,3e4KqTtwWs6o3OZNxlag
Say Anything...,Gracie Films,Cameron Crowe,Comedy,3ekTIOzlD0gggW3sTjN0
The Garbage Pail Kids Movie,Atlantic Entertainment Group,Rod Amateau,Adventure,3gEQllIr9tjgXY67tRiv
The Whales of August,Nelson Entertainment,Lindsay Anderson,Drama,3gjZgZ86ho0dbuwyuyLG
The Hitcher,HBO Films,Robert Harmon,Thriller,3igSmIIfIlSJ3Q5CSCLS
Heart of Midnight,Virgin Vision,Matthew Chapman,Drama,3nP7Rb9RYqVdMRfoCeKt
Ernest Goes to Camp,Emshell Producers,John R. Cherry III,Comedy,3nvF3vj0YbbjHW6BYIIh
Some Girls,Metro-Goldwyn-Mayer (MGM),Michael Hoffman,Comedy,3v3dMKDONnO2cm1PubDW
The Unbearable Lightness of Being,The Saul Zaentz Company,Philip Kaufman,Drama,3xagH9qWsb17Dw18CtGG
Leviathan,Filmauro,George P. Cosmatos,Adventure,3xtX88NS0XBYxWHD4P2L
Cannonball Fever,Entcorp Communications,Jim Drake,Comedy,4AFp3lenrHBzAOXcadIP
Ernest Saves Christmas,Touchstone Pictures,John R. Cherry III,Comedy,4AJYLxEO7WbI4vFiueBQ
A Handful of Dust,Compact Yellowbill,Charles Sturridge,Drama,4DZrTWKO81tbCPyQ7ohM
The Two Jakes,88 Productions,Jack Nicholson,Crime,4E6h7DO430LpxWihiADJ
An Innocent Man,Interscope Communications,Peter Yates,Action,4IyV9uA1GhkzPGp6KtVv
Desperate Hours,Dino De Laurentiis Company,Michael Cimino,Action,4O4zjkTzrYPVWL7rR5aT
Malcolm,Cascade Films,Nadia Tass,Comedy,4WP0gOb0rzSq1YT3Dn5u
Allan Quatermain and the Lost City of Gold,Golan-Globus Productions,Gary Nelson,Action,4WSL0B9xONHiH4hQjdNC
The Sheltering Sky,Recorded Picture Company (RPC),Bernardo Bertolucci,Adventure,4b2VLh2UGgER6HOQUHps
"I, Madman",Trans World Entertainment (TWE),Tibor Takács,Fantasy,4jhIbmcvH02VbwC7R35T
Cadillac Man,Orion Pictures,Roger Donaldson,Comedy,4ljCH99LPkn3evZkgi1G
Wings of Desire,Road Movies Filmproduktion,Wim Wenders,Drama,50yAOEFwbLlgq92JxbuP
Cameron's Closet,Smart Egg Pictures,Armand Mastroianni,Horror,52kberJYdjFRiiHKBh95
Beetlejuice,"Geffen Company, The",Tim Burton,Comedy,5AI42rwDddxiVoHSuBaw
36 fillette,CB Films,Catherine Breillat,Romance,5BcgYEYvKxSryRFKWHft
Wired,FM Entertainment,Larry Peerce,Biography,5IzWj2efqMMhRArUCciU
Piratas,Carthago Films S.a.r.l.,Roman Polanski,Adventure,5Klt3sml6gPrQUNympIB
Lionheart,Imperial Entertainment Corporation,Sheldon Lettich,Action,5Nbsi66q0g13rzfbnSPg
Troop Beverly Hills,Fries Entertainment,Jeff Kanew,Adventure,5OGXq5ODH86cm7sfd0Q0
True Love,United Artists,Nancy Savoca,Comedy,5P0RKGP8qu37MpSs3MnP
Hunk,Marimark Productions,Lawrence Bassoff,Comedy,5XYzwed55eW2WfPgmI7s
Lady Jane,Capital Equipment Leasing,Trevor Nunn,Biography,5fhLPmbhhpsgOSjJ4i86
One Crazy Summer,A&M; Films,Savage Steve Holland,Comedy,5lmYwQxFoOKFFBg7mkcF
Wanted: Dead or Alive,New World Pictures,Gary Sherman,Action,5oAw5HOTeHB5GPaPY9Ky
Mystery Train,JVC Entertainment Networks,Jim Jarmusch,Comedy,5q4OYmHak1RaUBjzEG2L
The Unbelievable Truth,Action Features,Hal Hartley,Comedy,5tO1coSEErItwXT8vDeV
Memphis Belle,Enigma Productions,Michael Caton-Jones,Action,5vvWSnbOjhoTUupcGRya
Mermaids,Orion Pictures,Richard Benjamin,Comedy,5xebloxRthJF2cPcAD0e
River's Edge,Hemdale,Tim Hunter,Crime,5zeUAhLXZFf0BcPWxchf
Scene of the Crime,T. Films,André Téchiné,Crime,606ALtKmpQN1MifpBSVx
In the Mood,Kings Road Entertainment,Phil Alden Robinson,Comedy,61T3TrCO3gVukQBeJhSP
Three O'Clock High,Universal Pictures,Phil Joanou,Comedy,6B1gZwADvQFgO9hSyZfv
Buster,"Movie Group, The",David Green,Comedy,6OXQbTWX1N25fFSEVu0H
Drowning by Numbers,Film Four International,Peter Greenaway,Comedy,6ShMIpqe8SE6zoM0U55L
A Cry in the Dark,Cannon Entertainment,Fred Schepisi,Drama,6U35MRcT2sS9yrVNQEf8
Salsa,Golan-Globus Productions,Boaz Davidson,Romance,6ZA9wtRnPuZCcE7RHkWJ
Intervista,Aljosha,Federico Fellini,Comedy,6ce10VW2CitJw7eksCyu
Betrayed,United Artists,Costa-Gavras,Drama,6d8gOYta4UJwgpZWS4KY
Witchboard,Paragon Arts International,Kevin Tenney,Horror,6iHQdBwFkqQeTPb2G3td
Stealing Home,The Mount Company,Steven Kampmann,Drama,6k1t39zRgJgGqg1r1jTP
Like Father Like Son,Imagine Films Entertainment,Rod Daniel,Comedy,6rng78iOyUbtL848ZCxM
Mr. Destiny,Laurence Mark Productions,James Orr,Comedy,6uHRHokN39AtsE6wLDeu
Hell High,DGS Productions,Douglas Grossman,Crime,75nAd4quN5TB99O7JsDY
Blind Fury,TriStar Pictures,Phillip Noyce,Action,75p1KIArxnIT8JgaQGX9
Dangerously Close,Cannon Group,Albert Pyun,Action,77tWS0BIDnMQ0g90Il8r
Internal Affairs,Paramount Pictures,Mike Figgis,Crime,7BRXmt4Ut3jatrV8eRmB
Men at Work,Epic Productions,Emilio Estevez,Action,7G086k8BpuvsCymgNjCv
Body Slam,Hemdale,Hal Needham,Comedy,7HO2rq61U77LjcQHud9A
The Witches of Eastwick,Warner Bros.,George Miller,Comedy,7IinZNiCx1RcceclIwhB
The Navigator: A Medieval Odyssey,Arenafilm,Vincent Ward,Action,7R7gS6Tw73EqLdixtRUh
The Rescuers Down Under,Silver Screen Partners IV,Hendel Butoy,Animation,7SgqgGesi6RFNYl0dyvk
Moonstruck,Metro-Goldwyn-Mayer (MGM),Norman Jewison,Comedy,7ZJs56Ze3pJRsNc1gXfz
Working Girl,Twentieth Century Fox Film Corporation,Mike Nichols,Comedy,7elC9hPkFWkvlQDyLezJ
Big Shots,Lorimar Film Entertainment,Robert Mandel,Adventure,7fHxcRK8ohKpMvti0n4G
The Land Before Time,Universal Pictures,Don Bluth,Animation,7i8HW5JM8hcnQ9okpHz2
Licence to Kill,Danjaq,John Glen,Action,7sGG3w14c7HEsrrSpOVl
The Phantom of the Opera,21st Century Film Corporation,Dwight H. Little,Drama,7xlNXk1bGZrGlDacQJne
Camille Claudel,Les Films Christian Fechner,Bruno Nuytten,Biography,80wUbD1G8pt7TfVyw6tZ
Heart Condition,New Line Cinema,James D. Parriott,Comedy,81XdNuZKsX9Kmu8NF7SK
Beverly Hills Brats,Skouras Pictures,Jim Sotos,Comedy,8E0tQLr72jj7nwopbsRn
Manon of the Spring,DD Productions,Claude Berri,Drama,8EOHFiH6B62ovEo2BYDA
Heat,Escalante Productions,Dick Richards,Action,8EfrbMfA9l4RHURoaEfH
Truly Madly Deeply,British Broadcasting Corporation (BBC),Anthony Minghella,Comedy,8FLyYrebdnToD4CW1p3K
Cheetah,Silver Screen Partners III,Jeff Blyth,Adventure,8GcVf9I6YIjVBG2hBvG4
Vamp,Amaretto Films,Richard Wenk,Comedy,8O2GYch4GFFH8om9YrxC
Gandahar,Col.Ima.Son,René Laloux,Animation,8Q1GT8NLdMPbZmpbBxdb
Staying Together,Not specified,Lee Grant,Comedy,8QcuXzAKIKjpnmlnSEEw
How to Make Love to a Negro Without Getting Tired,Stock Films International,Jacques W. Benoit,Comedy,8RaHhPPiz09PuLIUQz67
The Rainbow,Vestron Pictures,Ken Russell,Action,8iT6AQyoIFqTuO8eO7R9
Tucker: The Man and His Dream,Lucasfilm,Francis Ford Coppola,Biography,8igSGx08IHlTwK6AUbqc
Road House,Silver Pictures,Rowdy Herrington,Action,8rP884kPOy2cwZOxJRom
Flashback,60/80 Productions,Franco Amurri,Action,8s4WaTihISYKYPFFKq8n
Presumed Innocent,Warner Bros.,Alan J. Pakula,Mystery,8wOdxZpTN2GVgNjRr29N
Just Between Friends,MTM Enterprises,Allan Burns,Drama,8wPGiaOraxImOyhwWIJZ
One More Saturday Night,AAR Films,Dennis Klein,Comedy,8x1kQvyPJghIBdilygMB
Tough Guys Don't Dance,Golan-Globus Productions,Norman Mailer,Comedy,8zACNSnYKZjRZN1KG7so
Big Trouble in Little China,Twentieth Century Fox Film Corporation,John Carpenter,Action,91cfouEZamLNpYsIIuF6
My Twentieth Century,Budapest Stúdió Vállalat,Ildikó Enyedi,Comedy,93zp0KwFo07sMYnEsZmY
Jack's Back,Cinema Group,Rowdy Herrington,Crime,95u03s71fOQlR9wrmUFs
Legal Eagles,Universal Pictures,Ivan Reitman,Comedy,97vKxCVFB8QYkJkZLJA2
Evil Dead II,De Laurentiis Entertainment Group (DEG),Sam Raimi,Comedy,9Av8yGj0184s6kcASirH
Waxwork,Vestron Pictures,Anthony Hickox,Comedy,9Bi8l1DUpIEVRqM9OBWF
The Dead,Vestron Pictures,John Huston,Drama,9EupimxXkkq0LVLINQr2
The Gospel According to Vic,Channel Four Films,Charles Gormley,Comedy,9FoCD6jx2b3omR4J7ha2
Jacknife,Kings Road Entertainment,David Hugh Jones,Drama,9M54P7FHpr7XzMlLYu1w
Club Paradise,Warner Bros.,Harold Ramis,Comedy,9PgoHyGxiVksvgypk55R
Heartburn,Paramount Pictures,Mike Nichols,Comedy,9WJMVmIC2u1G9SOj1HtC
The Milagro Beanfield War,Esparza,Robert Redford,Comedy,9YWPrZlPvlwyUvwAYTDF
Nightflyers,Vista Organization,Robert Collector,Horror,9ZzRgIYg6hKpvJOjHUAq
Fire with Fire,Paramount Pictures,Duncan Gibbins,Drama,9fCc0CIsJZuHk9WDTWHM
The Karate Kid Part II,Columbia Pictures Corporation,John G. Avildsen,Action,9got4PSLFEfS5OjYWNqm
Full Metal Jacket,Natant,Stanley Kubrick,Drama,9hGN2aQgMcZ67sSCNWjH
Ishtar,Columbia Pictures Corporation,Elaine May,Action,9i6mrvXY3RzLec50CfXo
Playing for Keeps,Miramax,Bob Weinstein,Comedy,9iOYzfERR3XAOReyRU6g
The Bear,Price,Jean-Jacques Annaud,Adventure,9kfp1AaLKLLaDoJY01MN
Platoon,Hemdale,Oliver Stone,Drama,9kqyAkSlAcCrQxIqWecB
Monkey Shines,Orion Pictures,George A. Romero,Drama,9mP8kOyR3Mi4SvGFpdA5
Almost an Angel,Ironbark Films,John Cornell,Comedy,9pAlwfhzOI0rV39Cbt4o
When the Wind Blows,Meltdown Productions,Jimmy T. Murakami,Animation,9pbSZGAmGAoFKVjDaxmE
The Money Pit,Amblin Entertainment,Richard Benjamin,Comedy,9qxwGXJmWyygQkhTqaEe
Dead Heat,Helpern / Meltzer,Mark Goldblatt,Action,9uV2TQDaNs68FdlYtlNA
The Package,Orion Pictures,Andrew Davis,Action,9wSTFqzo4jNxJdZiJdMP
8 Million Ways to Die,Producers Sales Organization (PSO),Hal Ashby,Action,A23AZIFUSLqR6jZ0Z5qr
The Princess Bride,Act III Communications,Rob Reiner,Adventure,A2BW2ZPmQ1EREz4NTXAh
Kinjite: Forbidden Subjects,Golan-Globus Productions,J. Lee Thompson,Action,A5VI77T01YF4hXD0sV3j
Housekeeping,Columbia Pictures Corporation,Bill Forsyth,Comedy,AKCb1gsyy1gv6w4b5ETv
Three Fugitives,Touchstone Pictures,Francis Veber,Action,ALUKe4Z20N2ON7V6qo2L
Night of the Demons,Blue Rider Pictures,Kevin Tenney,Comedy,AORJPLABnGC5LY1tWzgN
Cruising Bar,Les Productions Vidéofilms Ltée,Robert Ménard,Comedy,AWzd7QqhGFLzwggvCQrq
Lisa,Gary Sherman Productions,Gary Sherman,Drama,AYTBsNwpi7QUqEJHxSql
"Rita, Sue and Bob Too",British Screen Productions,Alan Clarke,Comedy,AmxSBLXrSYmVtN2EADXS
Stakeout,Touchstone Pictures,John Badham,Action,Apf3TJJphlb9yKE0FyAN
Caddyshack II,"Guber-Peters Company, The",Allan Arkush,Comedy,Api7AK2v4meu9H9ESWnw
Edge of Sanity,Allied Vision,Gérard Kikoïne,Horror,ArfRJ13zHG1QwroC5pYI
Square Dance,Island Pictures,Daniel Petrie,Drama,AyrbTmFLJXr2PWNuRgGz
Gardens of Stone,ML Delphi Premier Productions,Francis Ford Coppola,Drama,B2xcAPguY6AFHaPyzyvh
Lethal Weapon,Warner Bros.,Richard Donner,Action,BDa422xJuISsC3A5bU9d
Nadine,TriStar Pictures,Robert Benton,Comedy,BDsJfwuSh6S2MwJw4x0g
My Left Foot,Ferndale Films,Jim Sheridan,Biography,BGDP2IUJMIlLyuDBNyKZ
Miss Firecracker,Corsair Pictures,Thomas Schlamme,Comedy,BHLPOFlg8qg1KBKIRySn
Out of Bounds,Columbia Pictures Corporation,Richard Tuggle,Action,BKOHecFCM3KiisdzQKNN
UHF,Cinecorp SAC,Jay Levey,Comedy,BOplfzFFJhrZsrbPNpAI
The Longshot,Longshot,Paul Bartel,Comedy,BdTirzoLrl3nbJR0OD1h
King Kong Lives,De Laurentiis Entertainment Group (DEG),John Guillermin,Action,BhHoc0p2TgLgCd4zeIbS
Amazon Women on the Moon,Universal Pictures,Joe Dante,Comedy,BiiUHvmJ4hyKTHnEMKob
Band of the Hand,Delphi V Productions,Paul Michael Glaser,Action,BsPmdZHnqVpt4yBpFZJ3
Air America,Carolco Pictures,Roger Spottiswoode,Action,BszLZrgAadry2kQC69S3
Physical Evidence,Columbia Pictures Corporation,Michael Crichton,Crime,C3gvK0UMbM5X0DjWTBOB
Under the Cherry Moon,Warner Bros.,Prince,Comedy,C3jvLhA9GLBeD922N75F
Where the River Runs Black,CBS Entertainment Production,Christopher Cain,Adventure,C52LnwwfJaZrAm5DrOsD
Knights of the City,Grace,Dominic Orlando,Action,C7Pn2qtjhBr2I8hQYSUs
Caravaggio,British Film Institute (BFI),Derek Jarman,Biography,CCRLHSrSquXJJFqjmoea
Bird,"Malpaso Company, The",Clint Eastwood,Biography,CEoKAvzogtuJxA3avOoz
Rosalie Goes Shopping,Bayerischer Rundfunk (BR),Percy Adlon,Comedy,CFwdyorUUbxK0OJJwMJW
Return to Snowy River,Burrowes Film Group,Geoff Burrowes,Adventure,CQSToWIPfoJNPSZK7NkQ
Acusados,Paramount Pictures,Jonathan Kaplan,Drama,CRFmNejvFt5cfiirTUDF
Worth Winning,A&M; Films,Will Mackenzie,Comedy,CUccUVrnLbU2aDckQpQF
The Rachel Papers,Initial Film and Television,Damian Harris,Drama,CUtDcLBPTEw2D7o5i3q3
The Field,Granada Television,Jim Sheridan,Drama,CVM4o7EFLEolbDpnjCVt
Talk Radio,Cineplex-Odeon Films,Oliver Stone,Drama,CXfuXHDoU6CtN1pM0tft
Beyond Therapy,New World Pictures,Robert Altman,Comedy,CePKgnoa0YyUCfCDknyc
The Barbarians,Cannon Films,Ruggero Deodato,Fantasy,CgmG6vx0JZlQolPwXFSs
Out Cold,Braunstein and Hamady Productions,Malcolm Mowbray,Comedy,Cle9DYBhjdEbwxm5Jjd0
Creepshow 2,Laurel Entertainment Inc.,Michael Gornick,Comedy,Cnsp8lMWYHD8MxnVdFoM
White Palace,Universal Pictures,Luis Mandoki,Drama,CzdGfpQVUcegcApVDHif
Mona Lisa,HandMade Films,Neil Jordan,Crime,CzlSi8G2DEqKN18gvSlM
Murphy's Law,Golan-Globus Productions,J. Lee Thompson,Action,D0pOBgBOosZBqscum1d7
Trick or Treat,De Laurentiis Entertainment Group (DEG),Charles Martin Smith,Comedy,D4l7GH06EDPy5vY1dUzW
The Hot Spot,Orion Pictures,Dennis Hopper,Crime,D8NR7wAKbp6uf2lh16At
April Fool's Day,Paramount Pictures,Fred Walton,Horror,DAQMiQgiIR9M9kHVR4nR
Lucas,Twentieth Century Fox Film Corporation,David Seltzer,Comedy,DMSGu2xsnl1wN333Qjgm
The 'Burbs,Imagine Entertainment,Joe Dante,Comedy,DMsDvQlLvyCWfzgKMBP7
Martians Go Home,Edward R. Pressman Film,David Odell,Comedy,DQROe0ssxIuX79sqy5nm
Sweetie,Arenafilm,Jane Campion,Comedy,DX05DfTue6ir4D1c5XPv
Quick Change,Devoted Productions,Howard Franklin,Comedy,DhX62vl7iz4G9ijXgAAz
Cobra,Warner Bros.,George P. Cosmatos,Action,Dj65BXia5UYs1O1MnJQv
Off Limits,Twentieth Century Fox Film Corporation,Christopher Crowe,Action,DoybC2Z4tRZ9wlqyUM8M
My Little Pony: The Movie,Sunbow Productions,Mike Joens,Animation,DrHXFeDy13jGgOewo208
Not of This Earth,Miracle Pictures,Jim Wynorski,Comedy,DztOhn1BzaGSjQBQzZBR
Cyrano de Bergerac,Caméra One,Jean-Paul Rappeneau,Biography,E4xDNLnBtankLLejn9Qn
Haunted Honeymoon,Orion Pictures,Gene Wilder,Comedy,E7viPsLJk5zKSKJZ3E7f
The Mission,Warner Bros.,Roland Joffé,Adventure,EALJUXiJ1EVKw3Zh5ZVm
Armed Response,Cinetel Films,Fred Olen Ray,Action,EC8WwcXoelJBSnrPKA8l
The Abyss,Twentieth Century Fox Film Corporation,James Cameron,Adventure,EJrWKlFrRDxvlSM3Hc4M
The Lost Boys,Warner Bros.,Joel Schumacher,Comedy,EMf75LQ4geTNiWBqCexS
The Boost,Hemdale,Harold Becker,Drama,EVx3TsLJIF0PAGMDNWGG
Morgan Stewart's Coming Home,Kings Road Entertainment,Paul Aaron,Comedy,EZvBbwNYZVvzGWDZfUJP
The Kindred,Kindred Limited Partnership,Stephen Carpenter,Horror,EaRjfNnpIBmBHMzghWi5
Barfly,Golan-Globus Productions,Barbet Schroeder,Comedy,Ecl2M4ZQLNDwo1s1AfJk
Jesus of Montreal,Max Films Productions,Denys Arcand,Drama,EfiIBpagE4u1U6LXwCmn
Ginger and Fred,Produzioni Europee Associate (PEA),Federico Fellini,Comedy,EiH55wBQC3lu0xWq8nwE
Bad Influence,Epic Productions,Curtis Hanson,Drama,EiNXnXxfbcPz9PPaOmge
Masquerade,Metro-Goldwyn-Mayer (MGM),Bob Swaim,Drama,EpywbKWZe0UdIo6MTiUq
Off Beat,Silver Screen Partners II,Michael Dinner,Comedy,F0E3K8Hb0f6MBrspBdgt
Moon Over Parador,Universal Pictures,Paul Mazursky,Comedy,FC21ERw5AshnZwOdB4BK
Fletch Lives,Universal Pictures,Michael Ritchie,Comedy,FDJJwdZf6z2ZG4JfLPGV
The Little Mermaid,Walt Disney Pictures,Ron Clements,Animation,FEkgKTLEY1DR0KAzc3HK
Steel Dawn,Independent Film Centre,Lance Hool,Action,FGvR5HnMwq560p7h0t9j
Switching Channels,TriStar Pictures,Ted Kotcheff,Comedy,FHD4xRYgqNuLwV5YBXom
Teen Wolf Too,Atlantic Entertainment Group,Christopher Leitch,Comedy,FKtDgeeOXlL7878rOzNy
Farewell to the King,Cine Location Services,John Milius,Action,FVXYhstIFYVF5xFkhrkJ
The Witches,Lorimar Film Entertainment,Nicolas Roeg,Adventure,FWVi1NmEN39tr6hzjMsh
My Blue Heaven,Hawn / Sylbert Movie Company,Herbert Ross,Comedy,FZhY3jMvy5NAlOtrXZov
Class of 1999,Lightning Pictures,Mark L. Lester,Action,Fcw56Go7mX6PtWHH0pGm
Matador,Compañía Iberoamericana de TV,Pedro Almodóvar,Drama,FdkNKq9UKC9jUIPf4cnj
We're No Angels,Paramount Pictures,Neil Jordan,Comedy,FgGCUvwOu6mK1sbmXEC1
Hiding Out,De Laurentiis Entertainment Group (DEG),Bob Giraldi,Comedy,FkMpq5N7M10cnU6zH8ZA
High Hopes,British Screen Productions,Mike Leigh,Comedy,Fo0p6fsWFR4D8Q2OD72z
Awakenings,Columbia Pictures Corporation,Penny Marshall,Biography,FoiaToe7Kb2G41mBYAXc
Al borde del terror,Concorde Pictures,Jon Hess,Action,FrMDy30wYPLKt3ZlXEx8
Little Shop of Horrors,"Geffen Company, The",Frank Oz,Comedy,FuBAReMgxtj9IRB5jFfH
Troll,Empire Pictures,John Carl Buechler,Comedy,FuJ4J8NIRnsbfAz7FDEF
Eat the Rich,Channel Four Films,Peter Richardson,Action,FvL3y0tAqyX0u5L6rb05
Best of the Best,"Movie Group, The",Robert Radler,Action,G2nwDjCS8K4dkcsxzSOa
